catalog_number,copy_number,gri_has_copy,price_recorded,owner_code,owner_location
D-1166,,,*,SMKH,"Karl und Magdalene Haberstock Stiftung, Augsburg, Germany"
D-1166,,,*,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1166,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1166,,,*,SMBS,"Skulpturensammlung und Museum fr byzantinische Kunst der Staatlichen Museen, Berlin, Germany"
D-1166,,,*,BSS,"Bayerische Staatsgemldesammlung, Munich, Germany"
D-1166,,,*,BKZ,"Bibliothek des Kunsthauses, Zurich, Switzerland"
D-1166,,,*,BNMM,"Bayerisches Nationalmuseum, Munich, Germany"
D-1166,,Yes,,UBH,"Universittsbibliothek, Heidelberg, Germany"
D-1166,,,*,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-997,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-997,,,*,BKZ,"Bibliothek des Kunsthauses, Zurich, Switzerland"
D-997,,,*,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-1216,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1216,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1216,,,*,BKZ,"Bibliothek des Kunsthauses, Zurich, Switzerland"
D-1359,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1359,,,,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-1405,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1405,,,*,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-1320,,,*,SMKH,"Karl und Magdalene Haberstock Stiftung, Augsburg, Germany"
D-1320,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1320,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1320,,,*,BKZ,"Bibliothek des Kunsthauses, Zurich, Switzerland"
D-1320,,,*,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-1284,,,*,KHI,"Kunsthistorisches Institut der Universitt zu Kln, Cologne, Germany"
D-1284,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1284,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1284,,,*,BSS,"Bayerische Staatsgemldesammlung, Munich, Germany"
D-1284,,,*,BKZ,"Bibliothek des Kunsthauses, Zurich, Switzerland"
D-1284,,,*,SIF,"Stdelsches Kunstinstitut und Stdtische Galerie, Frankfurt, Germany"
D-1456,,,*,ZIKG,"Zentralinstitut fr Kunstgeschichte, Munich, Germany"
D-1456,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1456,,,*,BKZ,"Bibliothek des Kunsthauses, Zurich, Switzerland"
D-1456,,,*,JPGM,"Getty Research Institute, Los Angeles, CA, USA"
D-1560,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-1560,,,*,BKZ,"Bibliothek des Kunsthauses, Zurich, Switzerland"
D-1774,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2582,,,*,SMKH,"Karl und Magdalene Haberstock Stiftung, Augsburg, Germany"
D-2582,,,*,SMKH,"Karl und Magdalene Haberstock Stiftung, Augsburg, Germany"
D-2582,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2575,,,*,SMKH,"Karl und Magdalene Haberstock Stiftung, Augsburg, Germany"
D-2575,,,*,SMKH,"Karl und Magdalene Haberstock Stiftung, Augsburg, Germany"
D-2575,,,*,SMKH,"Karl und Magdalene Haberstock Stiftung, Augsburg, Germany"
D-2575,,,*,SMKH,"Karl und Magdalene Haberstock Stiftung, Augsburg, Germany"
D-2575,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2661,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2523,,,*,ZIKG,"Zentralinstitut fr Kunstgeschichte, Munich, Germany"
D-2523,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2667,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2861,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2719,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2671,,,*,KHI,"Kunsthistorisches Institut der Universitt zu Kln, Cologne, Germany"
D-2671,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2835,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2966,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-2855,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-795,,,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-795,,Yes,,UBH,"Universittsbibliothek, Heidelberg, Germany"
D-3054,,Yes,,MBB,"Kunstbibliothek der Staatlichen Museen, Berlin, Germany"
D-27,,,*,RKDH,"Rijksbureau voor Kunsthistorische Documentatie, The Hague, Netherlands"
